"Value","Frequency","average_fraud_flag"
"RETAILER WARDROBE MOTION-SENSITIVE INTE",12,0
"RETAILER WARM COSY BRUSHED COTTON DOUBL",1,0
"RETAILER WARM COSY BRUSHED COTTON FITTE",4,0
"RETAILER WARM COSY BRUSHED COTTON STAND",1,0
"RETAILER WARM COSY BRUSHED COTTON SUPER",2,0
"RETAILER WASHED COTTON BEDSPREAD PLASTE",1,0
"RETAILER WASHED COTTON CUSHION SLATE",1,0
"RETAILER WASHING UP BOWL GREY",2,0
"RETAILER WATER HYACINTH 4 DRAWER STORAG",1,0
"RETAILER WATER HYACINTH LAUNDRY HAMPER",2,0
"RETAILER WATER HYACINTH LIDDED BOX LARG",1,0
"RETAILER WATER HYACINTH LOG BASKET WITH",1,0
"RETAILER WATER HYACINTH STORAGE BOXES S",1,0
"RETAILER WATER HYACINTH STORAGE UNIT 4",1,0
"RETAILER WATER HYACINTH WASTE PAPER BIN",1,0
"RETAILER WEDGE CHANGING MAT WHITE",9,0
"RETAILER WEDGE STAR CHANGING MAT WHITE",2,0
"RETAILER WELLINGTON RUG L230 X W160 CM",5,0
"RETAILER WELLINGTON RUG L300 X W200CM D",1,0
"RETAILER WELLINGTON RUG L300 X W200CM I",1,0
"RETAILER WELLINGTON RUG L300 X W200CM N",2,0
"RETAILER WELLINGTON RUG L300 X W200CM T",1,0
"RETAILER WELLINGTON RUG NAVY L170 X W11",1,0
"RETAILER WELLINGTON RUG SAFFRON L140 X",2,0
"RETAILER WELLINGTON RUG TEAL L170 X W11",1,0
"RETAILER WHALE CUSHION",2,0
"RETAILER WHALE HOODED TOWEL AND MITT",1,0
"RETAILER WHALE ROUND DRIBBLE BIB PACK O",1,0
"RETAILER WHALEFIN OFFICE CHAIR BLACK",1,0
"RETAILER WHITE CERAMIC TOILET BUTLER",2,0
"RETAILER WHITE CERAMIC TOILET ROLL HOLD",1,0
"RETAILER WHITE JASMINE TEALIGHTS PACK O",1,0
"RETAILER WHITE JASMINE TIN SCENTED CAND",1,0
"RETAILER WHITE MARBLE BATHROOM ACCESSOR",1,0
"RETAILER WHITE MARBLE BATHROOM TUMBLER",2,0
"RETAILER WHITE MARBLE SOAP DISPENSER",1,0
"RETAILER WHITE MARBLE STAINLESS STEEL C",1,0
"RETAILER WHITE MARBLE TOILET BRUSH",3,0
"RETAILER WHITE MARBLE TOILET BUTLER",1,0
"RETAILER WHITE PATTERN SEAGRASS BASKET",1,0
"RETAILER WHITE PORCELAIN SPOON REST",1,0
"RETAILER WHITE TEA BERGAMOT REED DIFFUS",1,0
"RETAILER WICKER LAUNDRY BASKET",1,0
"RETAILER WICKHAM OUTDOOR WALL LIGHT BLA",1,0
"RETAILER WILLOW DOUBLE LAUNDRY BASKET",1,0
"RETAILER WILLOW LINED STORAGE BASKETS G",1,0
"RETAILER WILTON CHANGING TABLE DRESSER",1,0
"RETAILER WILTON COTBED WHITE",1,0
"RETAILER WILTON WARDROBE WHITE",1,0
"RETAILER WINGED STICK-ON BRA ALMOND D",1,0
"RETAILER WINTER SPICE INCLUSION 3 WICK",1,0
"RETAILER WINTER SPICE SCENTED CANDLE",1,0
"RETAILER WIPE CLEAN PVC HIDCOTE FLORAL",1,0
"RETAILER WIPE CLEAN PVC SPOT PRINT TABL",1,0
"RETAILER WIRE EDGE WOVEN SHEER ORGANZA",1,0
"RETAILER WIRE LAUNDRY BASKET",1,0
"RETAILER WIRE SERVING BASKET BLACK LARG",1,0
"RETAILER WOMEN S CASHMERE BED SOCKS LIG",1,0
"RETAILER WOMEN S ORGANIC COTTON KNEE HI",1,0
"RETAILER WOMEN S WOOL SILK BLEND ANKLE",1,0
"RETAILER WOOD-EFFECT WIND-UP PARASOL 2",1,0
"RETAILER WOOD AND METAL EYELET CURTAIN",1,0
"RETAILER WOOD CURTAIN POLE KIT WHITE FI",2,0
"RETAILER WOOD HANDLE SILICONE HEAD KITC",1,0
"RETAILER WOOD VENETIAN BLIND 50MM SLATS",3,0
"RETAILER WOODEN CHESS DRAUGHTS GAME",1,0
"RETAILER WOODEN CHINESE CHEQUERS GAME",1,0
"RETAILER WOODEN DOLL HIGHCHAIR",1,0
"RETAILER WOODEN HAMMER BENCH",1,0
"RETAILER WOODEN RAMPS RACER",2,0
"RETAILER WOODEN SKIRT CLIP HANGERS FSC-",1,0
"RETAILER WOODEN SNAKES LADDERS AND LUDO",1,0
"RETAILER WOODEN VEGETABLE SET",1,0
"RETAILER WOODLAND FABLE KING DUVET COVE",1,0
"RETAILER WOODLAND FABLE PVC TABLECLOTH",1,0
"RETAILER WOOL HOUNDSTOOTH FLAT CAP NAVY",1,0
"RETAILER WOOL SILK BLEND WELLINGTON BOO",1,0
"RETAILER WOVEN DINING CHAIRS BROKEN WHI",1,0
"RETAILER WOVEN DINING CHAIRS OYSTER SET",1,0
"RETAILER WOVEN DINING CHAIRS PEBBLE SET",5,0
"RETAILER WOVEN JUTE OVAL PLACEMATS SET",1,0
"RETAILER X FRAME DESK NATURAL GREEN",2,0
"RETAILER X NATURAL HISTORY MUSEUM KIDS",1,0
"RETAILER ZEBRA BIRTHDAY GIFT WRAP SET",1,0
"RETAILER ZEN CRANES CUSHION ECRU",1,0
"RETAILER ZEN GARDEN KING DUVET COVER SE",2,0
"RETAILER ZEN GARDEN SUPER KING DUVET CO",1,0
"RETAILER ZENA LED TWIST CEILING LIGHT P",2,0
"RETAILER ZENA LED TWIST FLOOR LAMP POLI",1,0
"RETAILER ZENA LED TWIST TABLE LAMP POLI",1,0
"RETAILER ZEPHYR LED CRYSTAL SEMI FLUSH",1,0
"RETAILER ZEPHYR LED DUAL RING PENDANT C",1,0
"RETAILER ZIA EASY-TO-FIT CEILING SHADE",1,0
"RETAILER ZIG ZAG BATH TOWEL WITH TENCEL",1,0
"RETAILER ZIG ZAG HAND TOWEL WITH TENCEL",1,0
"RETAILER ZIG ZAG KING DUVET COVER SET W",1,0
"RETAILER ZIG ZAG TABLE WINE RACK 12 BOT",1,0
"RETAILER ZOLA SEMI FLUSH 3 ARM CEILING",1,0
"RETAILER ZOO FRIENDS SPOT PRINT SLEEPIN",1,0
"RH NEW LOGIC 220 OFFICE CHAIR GREY",1,0
"RHS ROSE CHINESE BOTANICAL UNFRAMED PRINT MOUNT 50",1,0
"RIEDEL O CHAMPAGNE GLASS SET OF 2 264ML CLEAR",1,0
"RIEDEL O STEMLESS CABERNET MERLOT RED WINE GLASSES",2,0
"RIEDEL STEMLESS WINGS CABERNET SAUVIGNON WINE GLAS",1,0
"RING FIT ADVENTURE SWITCH",1,0
"RING FLOODLIGHT CAM SMART SECURITY CAMERA WITH BUI",1,0
"RING FLOODLIGHT CAM WIRED PLUS SMART SECURITY CAME",1,0
"RING SMART VIDEO DOORBELL 1 2ND GENERATION WITH BU",3,0
"RING SMART VIDEO DOORBELL 3 WITH BUILT-IN WI-FI CA",2,0.5
"RING SMART VIDEO DOORBELL PRO WITH BUILT-IN WI-FI",2,0
"RING SMART VIDEO DOORBELL WIRED WITH BUILT-IN WI-F",1,0
"RING SPOTLIGHT CAM SMART SECURITY CAMERA WITH BUIL",1,0
"RITUALS PRIVATE COLLECTION SWEET JASMINE HAND WASH",1,0
"RITUALS PRIVATE COLLECTION SWEET JASMINE KITCHEN H",1,0
"RITUALS THE RITUAL OF SAKURA RENEWING TREAT BODYCA",2,0
"RO ZO PUFF SLEEVE V-NECK BLOUSE BLACK 14",1,0
"ROBERT WELCH ARDEN CUTLERY SET 24 PIECE 6 PLACE SE",1,0
"ROBERT WELCH BLOCKLEY CUTLERY SET 42 PIECE 6 PLATE",1,0
"ROBERT WELCH DRIFT HURRICANE LAMP H23CM SILVER",1,0
"ROBERT WELCH HIDCOTE CUTLERY SET 24 PIECE 6 PLACE",2,0
"ROBERT WELCH IONA CUTLERY SET 42 PIECE 6 PLACE SET",1,0
"ROBERT WELCH MALVERN CUTLERY SET 24 PIECE 6 PLACE",1,0
"ROBERT WELCH MALVERN LONG HANDLE TEASPOONS SET OF",1,0
"ROBERT WELCH MALVERN SERVING SPOON",1,0
"ROBERT WELCH OBLIQUE BAR TOILET ROLL HOLDER",1,0
"ROBERT WELCH OBLIQUE SWING TOILET ROLL HOLDER",1,0
"ROBERT WELCH OBLIQUE TOILET BRUSH AND HOLDER",1,0
"ROBERT WELCH OBLIQUE TOWEL RING",1,0
"ROBERT WELCH RADFORD BUTTER KNIFE",1,0
"ROBERT WELCH RADFORD CUTLERY CANTEEN 60 PIECE 7 PL",1,0
"ROBERT WELCH RADFORD CUTLERY SET 24 PIECE 6 PLACE",3,0
"ROBERT WELCH RADFORD CUTLERY SET 84 PIECE 12 PLACE",1,0
"ROBERT WELCH RADFORD GOURMET SERVING SPOON",3,0
"ROBERT WELCH RADFORD LONG HANDLED TEASPOON",1,0
"ROBERT WELCH RADFORD NAPKIN RINGS SET OF 2",1,0
"ROBERT WELCH RADFORD OLIVE PICKLE SPOON",1,0
"ROBERT WELCH RADFORD PATISSERIE SET",1,0
"ROBERT WELCH RADFORD PIE SERVER",1,0
"ROBERT WELCH RADFORD SMALL CHEESE KNIFE",1,0
"ROBERT WELCH RADFORD TEASPOON",2,0
"ROBERT WELCH RW2 SATIN SERVING SPOON",1,0
"ROBERT WELCH SIGNATURE RICE SERVING SPOON",1,0
"ROBERT WELCH SIGNATURE SALT AND PEPPER SET",1,0
"ROBERT WELCH STANTON CUTLERY SET 56 PIECE 8 PLACE",1,0
"ROBERTS RAMBLER BT STEREO DAB DAB FM BLUETOOTH DIG",1,0
"ROBERTS REVIVAL UNO BT DAB DAB FM BLUETOOTH DIGITA",1,0
"ROBERTS RT100 TWO SPEED USB TURNTABLE NATURAL WOOD",1,0
"ROBERTS STREAM 67 DAB FM INTERNET RADIO WI-FI BLUE",1,0
"ROBERTS ZOOMBOX 3 DAB DAB FM CD RADIO WHITE",2,0
"ROCKET DOG CHEERY CANVAS TRAINERS WHITE 3",1,0
"ROCKIT BABY ROCKER",1,0
"RODIAL BANANA LOW LIGHTER CONCEALER 5 5ML",2,0
"ROLSER SAQUET TROLLEY BLACK",1,0
"ROMO POMAC WALLPAPER EAU DE NIL W420 02",1,0
"RORY DOBNER CUTESY BUILDING RELAXING SCENTED CANDL",1,0
"RORY DOBNER CUTESY LOOK POMEGRANATE SCENTED CANDLE",1,0
"RORY DOBNER PERCY PUG PIN TRAY",1,0
"ROSIE MADE A THING BAGGING AREA BLANK GREETING CAR",1,0
"ROSIE MADE A THING REDUCE WINE BLANK GREETING CARD",1,0
"ROYAL BOTANIC GARDENS KEW BY SPEAR JACKSON DUTCH H",1,0
"ROYAL BOTANIC GARDENS KEW WILD FIG REED DIFFUSER 2",1,0
"ROYAL DOULTON PACIFIC LINES MUG BLUE WHITE 350ML",1,0
"ROYAL DOULTON PACIFIC PORCELAIN MUGS SET OF 6 390M",1,0
"ROYAL SELANGOR PUFFERFISH WINE AERATOR",1,0
"ROYAL WORCESTER SERENDIPITY BONE CHINA CEREAL BOWL",1,0
"ROYAL WORCESTER SERENDIPITY BONE CHINA DINNER PLAT",1,0
"ROYAL WORCESTER SERENDIPITY BONE CHINA SIDE PLATE",1,0
"ROYAL WORCESTER SERENDIPITY BONE CHINA SOUP BOWLS",1,0
"ROYAL WORCESTER SERENDIPITY PLATINUM FINE BONE CHI",4,0
"ROYALCRAFT ASPEN 4-SEATER GARDEN DINING TABLE CHAI",2,0
"ROYALCRAFT ASPEN 6-SEATER GARDEN DINING TABLE CHAI",1,0
"ROYALCRAFT MILAN 5-SEATER GARDEN CORNER SOFA COFFE",1,0
"RTA FREESTANDING WOOD WINE RACK 27 BOTTLE DARK PIN",1,0
"RTA FREESTANDING WOOD WINE RACK 9 BOTTLE LIGHT OAK",2,0
"RUARK R5 DAB DAB FM INTERNET RADIO CD BLUETOOTH WI",1,0
"RUCOMFY INDOOR OUTDOOR BEAN CUBE NAVY",2,0
"RUCOMFY INDOOR OUTDOOR BEAN CUBE TURQUOISE",3,0
"RUCOMFY INDOOR OUTDOOR CUSHION SET OF 2 FUCHSIA",2,0
"RUCOMFY INDOOR OUTDOOR CUSHION SET OF 2 ORANGE",2,0
"RUCOMFY INDOOR OUTDOOR CUSHION SET OF 2 TURQUOISE",1,0
"RUCOMFY INDOOR OUTDOOR CUSHION SET OF 2 YELLOW",1,0
"RUCOMFY JUNIOR SQUASHY SQUARBIE INDOOR OUTDOOR BEA",1,0
"RUCOMFY SLOUCHBAG JUMBO CORD BEAN BAG MUSTARD",1,0
"RUCOMFY SLOUCHBAG JUMBO CORD BEAN BAG PLATINUM",2,0
"RUCOMFY SLOUCHBAG JUMBO CORD INDOOR OUTDOOR BEAN B",1,0
"RUCOMFY SQUASHY SQUARBIE EXTRA LARGE INDOOR OUTDOO",2,0
"SAGE BARISTA EXPRESS BEAN-TO-CUP COFFEE MACHINE WI",2,0
"SAGE BARISTA TOUCH BARISTA QUALITY BEAN-TO-CUP COF",2,0
"SAGE KNOCK BOX",1,0
"SAGE ORACLE TOUCH FULLY AUTOMATIC BEAN-TO-CUP COFF",1,0
"SAGE SBL620SIL FRESH FURIOUS FOOD BLENDER SILVER",1,0
"SAGE SBL920BSS SUPER Q FOOD BLENDER STAINLESS STEE",2,0
"SAGE SES500BSS BAMBINO PLUS COFFEE MACHINE SILVER",1,0
"SAGE SES878BSS THE BARISTA PRO COFFEE MACHINE SILV",4,0
"SAGE SES878BTR THE BARISTA PRO COFFEE MACHINE TRUF",2,0
"SAGE SJB815BSS THE 3X BLUICER JUICER STAINLESS STE",2,0
"SAGE SMO870 COMBI WAVE 3-IN-1 MICROWAVE",1,0
"SAGE THE COMPACT KETTLE PURE",3,0
"SAGE THE DUO TEMP PRO ESPRESSO COFFEE MACHINE BRUS",1,0
"SAGE THE PRECISION BREWER COFFEE MACHINE",1,0
"SAGE THE SMART GRINDER PRO COFFEE GRINDER STAINLES",1,0
"SAGE THE SMART TOAST 4 SLICE TOASTER STAINLESS STE",2,0
"SALTER COOK ELECTRONIC DIGITAL KITCHEN SCALE WITH",1,0
"SALTER EVO DIGITAL KITCHEN SCALE 6KG",2,0
"SAMSONITE D LITE 4-WHEEL 83CM LARGE EXPANDABLE SUI",1,0
"SAMSONITE MAGNUM ECO SPINNER 75CM 4-WHEEL LARGE SU",1,1
"SAMSONITE SECURIPAK ANTI-THEFT 15 6 LAPTOP BACKPAC",1,0
"SAMSONITE UPSCAPE 4-WHEEL 55CM EXPANDABLE CABIN CA",1,0
"SAMSONITE UPSCAPE 4-WHEEL 75CM EXPANDABLE LARGE SU",1,0
"SAMSUNG 980 PRO PCIE GEN 4 0 NVME M 2 SOLID STATE",1,1
"SAMSUNG GALAXY A52 SILICONE CASE BLACK",1,0
"SAMSUNG GALAXY A52S SMARTPHONE ANDROID 6GB RAM 6 5",144,0.007
"SAMSUNG GALAXY BOOK GO 4G LTE LAPTOP QUALCOMM SNAP",2,0
"SAMSUNG GALAXY BOOK LAPTOP INTEL CORE I5 PROCESSOR",10,0
"SAMSUNG GALAXY BOOK LAPTOP INTEL CORE I7 PROCESSOR",6,0
"SAMSUNG GALAXY BOOK PRO 360 LAPTOP INTEL CORE I5 P",2,0
"SAMSUNG GALAXY BOOK PRO 360 LAPTOP INTEL CORE I7 P",6,0
"SAMSUNG GALAXY BOOK PRO LAPTOP INTEL CORE I7 PROCE",2,0
"SAMSUNG GALAXY BOOK2 360 CONVERTIBLE LAPTOP INTEL",4,0.25
"SAMSUNG GALAXY BOOK2 PRO 360 CONVERTIBLE LAPTOP IN",10,0
"SAMSUNG GALAXY BOOK2 PRO LAPTOP INTEL CORE I5 PROC",1,0
"SAMSUNG GALAXY BUDS 2 WITH QI-COMPATIBLE WIRELESS",22,0
"SAMSUNG GALAXY BUDS LIVE WITH QI-COMPATIBLE WIRELE",10,0
"SAMSUNG GALAXY BUDS PRO",1,0
"SAMSUNG GALAXY BUDS PRO WITH QI-COMPATIBLE WIRELES",8,0
"SAMSUNG GALAXY BUDS+",1,0
"SAMSUNG GALAXY NOTE 20 ULTRA SMARTPHONE WITH BLUET",10,0.1
"SAMSUNG GALAXY S20 FE 5G SMARTPHONE",1,0
"SAMSUNG GALAXY S20 FE 5G SMARTPHONE WITH WIRELESS",18,0.0556
"SAMSUNG GALAXY S20 FE CLEAR VIEW CASE NAVY",1,0
"SAMSUNG GALAXY S20 FE CLEAR VIEW CASE WHITE",1,0
"SAMSUNG GALAXY S20 FE SILICONE COVER CLEAR",1,0
"SAMSUNG GALAXY S20 FE SILICONE COVER NAVY",2,0
"SAMSUNG GALAXY S20 FE SILICONE COVER WHITE",2,0
"SAMSUNG GALAXY S20 FE SMARTPHONE",6,0
"SAMSUNG GALAXY S20 FE SMARTPHONE WITH WIRELESS POW",55,0
"SAMSUNG GALAXY S21 5G SMARTPHONE",9,0
"SAMSUNG GALAXY S21 5G SMARTPHONE WITH WIRELESS POW",177,0.0341
"SAMSUNG GALAXY S21 CLEAR VIEW COVER PHANTOM BLACK",2,0
"SAMSUNG GALAXY S21 LED VIEW COVER PHANTOM BLACK",1,0
"SAMSUNG GALAXY S21 PLUS 5G SMARTPHONE WITH WIRELES",41,0.0976
"SAMSUNG GALAXY S21 PLUS CLEAR CASE TRANSPARENT",1,0
"SAMSUNG GALAXY S21 PLUS CLEAR VIEW COVER PHANTOM B",2,0
"SAMSUNG GALAXY S21 PLUS LED VIEW COVER PHANTOM BLA",1,0
"SAMSUNG GALAXY S21 PLUS LED VIEW COVER PHANTOM VIO",1,0
"SAMSUNG GALAXY S21 PLUS SMARTPHONE",4,0
"SAMSUNG GALAXY S21 SMARTPHONE",24,0.0833
"SAMSUNG GALAXY S21 ULTRA 5G SMARTPHONE WITH WIRELE",76,0.0526
"SAMSUNG GALAXY S21 ULTRA CLEAR CASE TRANSPARENT",2,0
"SAMSUNG GALAXY S21 ULTRA SILICONE CASE PHANTOM BLA",3,0
"SAMSUNG GALAXY S21 ULTRA SILICONE CASE WITH S PEN",2,0
"SAMSUNG GALAXY S21 ULTRA SMARTPHONE",61,0.0508
"SAMSUNG GALAXY S22 5G SMARTPHONE WITH WIRELESS POW",6,0
"SAMSUNG GALAXY S22 ULTRA 5G SMARTPHONE WITH WIRELE",32,0.0312
"SAMSUNG GALAXY S22 ULTRA SMART CLEAR VIEW COVER BL",2,0
"SAMSUNG GALAXY SMARTTAG BLACK",1,0
"SAMSUNG GALAXY TAB A7 TABLET BOOK COVER BLACK",1,0
"SAMSUNG GALAXY TAB S7 FE TABLET BOOK COVER BLACK",4,0
"SAMSUNG GALAXY TAB S7 FE TABLET BOOK COVER PINK RO",1,0
"SAMSUNG GALAXY TAB S7 FE TABLET WITH BLUETOOTH S P",229,0.0089
"SAMSUNG GALAXY TAB S7 KEYBOARD COVER BLACK",9,0
"SAMSUNG GALAXY TAB S7 TABLET BOOK COVER BLACK",3,0
"SAMSUNG GALAXY TAB S7 TABLET WITH BLUETOOTH S PEN",268,0.0226
"SAMSUNG GALAXY TAB S8 TABLET WITH BLUETOOTH S PEN",66,0
"SAMSUNG GALAXY TAB S8 ULTRA TABLET BOOK COVER",9,0.1111
"SAMSUNG GALAXY TAB S8 ULTRA WITH BLUETOOTH S PEN A",78,0.0256
"SAMSUNG GALAXY WATCH 3",7,0
"SAMSUNG GALAXY WATCH 3 4G CELLULAR 41MM STAINLESS",4,0
"SAMSUNG GALAXY WATCH 3 4G CELLULAR 45MM STAINLESS",9,0
"SAMSUNG GALAXY WATCH 3 BLUETOOTH 41MM STAINLESS ST",2,0
"SAMSUNG GALAXY WATCH 3 BLUETOOTH 45MM STAINLESS ST",1,0
"SAMSUNG GALAXY WATCH 3 BLUETOOTH 45MM TITANIUM MYS",3,0
"SAMSUNG GALAXY WATCH 4 4G CELLULAR 40MM ALUMINIUM",37,0
"SAMSUNG GALAXY WATCH 4 4G CELLULAR 44MM ALUMINIUM",16,0
"SAMSUNG GALAXY WATCH 4 BLUETOOTH 40MM ALUMINIUM WI",79,0
"SAMSUNG GALAXY WATCH 4 BLUETOOTH 44MM ALUMINIUM WI",62,0
"SAMSUNG GALAXY WATCH 4 CLASSIC 4G CELLULAR 42MM ST",24,0.0417
"SAMSUNG GALAXY WATCH 4 CLASSIC 4G CELLULAR 46MM ST",72,0.0278
"SAMSUNG GALAXY WATCH 4 CLASSIC BLUETOOTH 42MM STAI",50,0
"SAMSUNG GALAXY WATCH 4 CLASSIC BLUETOOTH 46MM STAI",121,0.0083
"SAMSUNG GALAXY Z FLIP 3 5G FOLDABLE SMARTPHONE 8GB",77,0
"SAMSUNG GALAXY Z FOLD 2",11,0
"SAMSUNG GALAXY Z FOLD 2 5G FOLDABLE SMARTPHONE 12G",2,0
"SAMSUNG GALAXY Z FOLD 3 5G FOLDABLE SMARTPHONE 12G",75,0.1467
"SAMSUNG HW-A550 BLUETOOTH SOUND BAR WITH VIRTUAL D",1,0
"SAMSUNG HW-Q600A BLUETOOTH CINEMATIC SOUND BAR WIT",2,0
"SAMSUNG HW-Q700A BLUETOOTH WI-FI CINEMATIC SOUND B",2,0
"SAMSUNG HW-Q800A BLUETOOTH WI-FI CINEMATIC SOUND B",6,0
"SAMSUNG HW-Q900A BLUETOOTH WI-FI CINEMATIC SOUND B",16,0
"SAMSUNG HW-Q900T BLUETOOTH WI-FI CINEMATIC SOUND B",1,0
"SAMSUNG HW-Q950A BLUETOOTH WI-FI CINEMATIC SOUND B",12,0
"SAMSUNG HW-Q950T BLUETOOTH WI-FI CINEMATIC SOUND B",1,0
"SAMSUNG HW-S40T BLUETOOTH ALL-IN-ONE COMPACT SOUND",2,0
"SAMSUNG HW-S60A BLUETOOTH WI-FI ALL-IN-ONE COMPACT",2,0
"SAMSUNG HW-S60T BLUETOOTH WI-FI ALL-IN-ONE COMPACT",3,0
"SAMSUNG HW-T400 BLUETOOTH NFC ALL-IN-ONE COMPACT S",1,0
"SAMSUNG HW-T550 BLUETOOTH SOUND BAR WITH VIRTUAL D",1,0
"SAMSUNG LC27R500FHRXXU FULL HD CURVED MONITOR 27 B",6,0
"SAMSUNG LC27T550FDRXXU FULL HD CURVED MONITOR 27 G",1,0
"SAMSUNG LC32R500FHRXXU FULL HD CURVED MONITOR 32 G",1,0
"SAMSUNG LF22T350FHRXXU FULL HD MONITOR 22 GREY",2,0
"SAMSUNG LF22T450FQRXXU FULL HD MONITOR 22 BLACK",1,0
"SAMSUNG LS22A330NHUXXU FULL HD MONITOR 22 BLACK",1,0
"SAMSUNG LS34J550WQRXXU WQHD ULTRA WIDE MONITOR",1,0
"SAMSUNG LS34J550WQRXXU WQHD ULTRA WIDE MONITOR 34",3,0
"SAMSUNG LU28R550UQRXXU ULTRA HD 4K MONITOR 28 GREY",5,0
"SAMSUNG LU28R550UQRXXU ULTRA HD, 4K MONITOR",1,0
"SAMSUNG LU32J590UQUXEN 4K MONITOR 32 BLACK",2,0
"SAMSUNG MC28H5013AS FREESTANDING MICROWAVE OVEN SI",1,0
"SAMSUNG MS23K3513AK EU MICROWAVE BLACK",1,0
"SAMSUNG MS23K3555EK MICROWAVE BLACK",2,0
"SAMSUNG ODYSSEY G3 LF27G35TFWUXXU FULL HD GAMING M",1,0
"SAMSUNG QE43QN90A 2021 NEO QLED HDR 1500 4K ULTRA",80,0
"SAMSUNG QE50Q80A 2021 QLED HDR 1000 4K ULTRA HD SM",5,0
"SAMSUNG QE50QN90A 2021 NEO QLED HDR 1500 4K ULTRA",46,0
"SAMSUNG QE50QN90B 2022 NEO QLED HDR 1500 4K ULTRA",1,0
"SAMSUNG QE50QN94A 2021 NEO QLED HDR 2000 4K ULTRA",133,0
"SAMSUNG QE55Q70A 2021 QLED HDR 4K ULTRA HD SMART T",4,0
"SAMSUNG QE55Q80A 2021 QLED HDR 1500 4K ULTRA HD SM",12,0
"SAMSUNG QE55QN700A 2021 NEO QLED HDR 2000 8K ULTRA",33,0
"SAMSUNG QE55QN85A 2021 NEO QLED HDR 1500 4K ULTRA",49,0
"SAMSUNG QE55QN90A 2021 NEO QLED HDR 2000 4K ULTRA",78,0
"SAMSUNG QE55QN94A 2021 NEO QLED HDR 2000 4K ULTRA",124,0.0161
"SAMSUNG QE55QN95A 2021 NEO QLED HDR 2000 4K ULTRA",190,0.0053
"SAMSUNG QE55QN95B 2022 NEO QLED HDR 2000 4K ULTRA",2,0
"SAMSUNG QE55S95B 2022 OLED HDR 4K ULTRA HD SMART T",2,0
"SAMSUNG QE65Q65A 2021 QLED HDR 4K ULTRA HD SMART T",24,0
"SAMSUNG QE65Q70A 2021 QLED HDR 4K ULTRA HD SMART T",8,0
"SAMSUNG QE65Q80A 2021 QLED HDR 1500 4K ULTRA HD SM",8,0
"SAMSUNG QE65QN700A 2021 NEO QLED HDR 2000 8K ULTRA",41,0
"SAMSUNG QE65QN800A 2021 NEO QLED HDR 2000 8K ULTRA",58,0
"SAMSUNG QE65QN85A 2021 NEO QLED HDR 1500 4K ULTRA",72,0.0278
"SAMSUNG QE65QN900A 2021 NEO QLED HDR 3000 8K ULTRA",15,0
"SAMSUNG QE65QN900B 2022 NEO QLED HDR 3000 8K ULTRA",1,0
"SAMSUNG QE65QN90A 2021 NEO QLED HDR 2000 4K ULTRA",99,0
"SAMSUNG QE65QN94A 2021 NEO QLED HDR 2000 4K ULTRA",65,0
"SAMSUNG QE65QN95A 2021 NEO QLED HDR 2000 4K ULTRA",137,0
"SAMSUNG QE65S95B 2022 OLED HDR 4K ULTRA HD SMART T",6,0
"SAMSUNG QE75Q65A 2021 QLED HDR 4K ULTRA HD SMART T",7,0
"SAMSUNG QE75Q70A 2021 QLED HDR 4K ULTRA HD SMART T",66,0.0758
"SAMSUNG QE75Q80A 2021 QLED HDR 1500 4K ULTRA HD SM",101,0.0297
"SAMSUNG QE75QN700A 2021 NEO QLED HDR 2000 8K ULTRA",31,0
"SAMSUNG QE75QN800A 2021 NEO QLED HDR 2000 8K ULTRA",33,0.0303
"SAMSUNG QE75QN85A 2021 NEO QLED HDR 1500 4K ULTRA",54,0.1111
"SAMSUNG QE75QN900A 2021 NEO QLED HDR 4000 8K ULTRA",8,0.375
"SAMSUNG QE75QN90A 2021 NEO QLED HDR 2000 4K ULTRA",9,0
"SAMSUNG QE75QN94A 2021 NEO QLED HDR 2000 4K ULTRA",32,0
"SAMSUNG QE75QN95A 2021 NEO QLED HDR 2000 4K ULTRA",35,0
"SAMSUNG QE85Q60A 2021 QLED HDR 4K ULTRA HD SMART T",75,0.0267
"SAMSUNG QE85Q70A 2021 QLED HDR 4K ULTRA HD SMART T",37,0.0811
"SAMSUNG QE85QN800A 2021 NEO QLED HDR 2000 8K ULTRA",23,0.087
"SAMSUNG QE85QN85A 2021 NEO QLED HDR 1500 4K ULTRA",19,0.0526
"SAMSUNG QE85QN900A 2021 NEO QLED HDR 4000 8K ULTRA",2,0
"SAMSUNG QE85QN94C 2021 NEO QLED HDR 2000 4K ULTRA",5,0
"SAMSUNG QE85QN95A 2021 NEO QLED HDR 2000 4K ULTRA",12,0.0833
"SAMSUNG QI WIRELESS CHARGER DUO BLACK",3,0
"SAMSUNG S PEN BLACK",2,0
"SAMSUNG SLIM FIT WALL MOUNT FOR Q-SERIES AU9000 AU",2,0
"SAMSUNG T7 PORTABLE SOLID STATE DRIVE USB 3 2 1TB",4,0
"SAMSUNG T7 PORTABLE SOLID STATE DRIVE USB 3 2 500G",3,0
"SAMSUNG THE FRAME 2021 QLED ART MODE TV WITH SLIM",874,0
"SAMSUNG THE FRAME 2022 QLED ART MODE TV WITH SLIM",13,0
"SAMSUNG THE FREESTYLE HDR FULL HD SMART PORTABLE P",10,0
"SAMSUNG THE PREMIERE LSP7T HDR 4K ULTRA HD SMART U",2,0
"SAMSUNG THE SERIF 2021 QLED HDR 4K ULTRA HD SMART",3,0
